Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2022-11-07,4.31,0.4533809670476008,2022,2022-10-03,1.64,2640500000,528100000,528100004.31,3.700193054397514e-9,0.016399999999999998,4432203.379724321,0
2022-11-07,4.31,0.4533809670476008,2022,2022-11-01,1.62,2640500000,528100000,528100004.31,3.700193054397514e-9,0.016200000000000003,4378152.145894155,0
2022-11-07,4.31,0.4533809670476008,2022,2022-12-01,1.23,2640500000,528100000,528100004.31,3.700193054397514e-9,0.0123,3324153.086205898,0
2022-11-07,4.31,0.4533809670476008,2022,2023-01-03,1.65,2640500000,528100000,528100004.31,3.700193054397514e-9,0.0165,4459228.996639405,0
2022-11-14,4.1,0.4542013735344958,2022,2022-10-03,1.64,2640500000,528100000,528100004.1,3.526274601465076e-9,0.016399999999999998,4650802.792518606,0
2022-11-14,4.1,0.4542013735344958,2022,2022-11-01,1.62,2640500000,528100000,528100004.1,3.526274601465076e-9,0.016200000000000003,4594085.712142365,0
2022-11-14,4.1,0.4542013735344958,2022,2022-12-01,1.23,2640500000,528100000,528100004.1,3.526274601465076e-9,0.0123,3488102.6448056204,0
2022-11-14,4.1,0.4542013735344958,2022,2023-01-03,1.65,2640500000,528100000,528100004.1,3.526274601465076e-9,0.0165,4679161.332706729,0
2022-11-21,4.12,0.44788764992705776,2022,2022-10-03,1.64,2640500000,528100000,528100004.12,3.49421909354913e-9,0.016399999999999998,4693468.658513616,0
2022-11-21,4.12,0.44788764992705776,2022,2022-11-01,1.62,2640500000,528100000,528100004.12,3.49421909354913e-9,0.016200000000000003,4636231.2630769,0
2022-11-21,4.12,0.44788764992705776,2022,2022-12-01,1.23,2640500000,528100000,528100004.12,3.49421909354913e-9,0.0123,3520102.052060908,0
2022-11-21,4.12,0.44788764992705776,2022,2023-01-03,1.65,2640500000,528100000,528100004.12,3.49421909354913e-9,0.0165,4722087.356231975,0
2022-11-28,4.34,0.44981727496103446,2022,2022-10-03,1.64,2640500000,528100000,528100004.34,3.6966615362381718e-9,0.016399999999999998,4436437.5957528055,0
2022-11-28,4.34,0.44981727496103446,2022,2022-11-01,1.62,2640500000,528100000,528100004.34,3.6966615362381718e-9,0.016200000000000003,4382334.725354905,0
2022-11-28,4.34,0.44981727496103446,2022,2022-12-01,1.23,2640500000,528100000,528100004.34,3.6966615362381718e-9,0.0123,3327328.7525958326,0
2022-11-28,4.34,0.44981727496103446,2022,2023-01-03,1.65,2640500000,528100000,528100004.34,3.6966615362381718e-9,0.0165,4463489.030951757,0
2022-12-05,4.21,0.442042421710239,2022,2022-11-01,1.62,2640500000,528100000,528100004.21,3.52395110881324e-9,0.016200000000000003,4597114.849709278,0
2022-12-05,4.21,0.442042421710239,2022,2022-12-01,1.23,2640500000,528100000,528100004.21,3.52395110881324e-9,0.0123,3490402.5601300383,0
2022-12-05,4.21,0.442042421710239,2022,2023-01-03,1.65,2640500000,528100000,528100004.21,3.52395110881324e-9,0.0165,4682246.564292296,0
2022-12-05,4.21,0.442042421710239,2022,2023-02-01,1.19,2640500000,528100000,528100004.21,3.52395110881324e-9,0.011899999999999999,3376893.60735268,0
